price,area,rooms,balcony,sauna,category,neighborhood,city,postcode,deal_type
819.0,32.0,2.0,False,False,kerrostalo,soukka,espoo,02360,rent
980.0,56.5,2.0,True,False,luhtitalo,pukinmäki,helsinki,00720,rent
722.0,30.5,1.0,False,False,kerrostalo,puotila,helsinki,00910,rent
725.0,26.5,1.0,False,False,kerrostalo,niittykumpu,espoo,01720,rent
979.0,60.0,3.0,True,False,kerrostalo,kivistö,vantaa,01700,rent
1150.0,61.0,2.0,False,False,kerrostalo,lauttasaari,helsinki,00210,rent
1150.0,36.0,2.0,False,False,kerrostalo,kamppi,helsinki,00180,rent
700.0,27.5,1.0,False,False,kerrostalo,etelä-haaga,helsinki,00320,rent
1041.0,59.0,2.0,False,True,kerrostalo,tiistilä,espoo,02240,rent
940.0,40.0,2.0,False,True,kerrostalo,vallila,helsinki,00550,rent
850.0,46.0,1.0,True,False,rivitalo,veromies,vantaa,01510,rent
680.0,23.0,1.0,False,False,kerrostalo,kallio,helsinki,00510,rent
1100.0,66.0,3.0,True,False,kerrostalo,puotila,helsinki,00910,rent
700.0,24.0,1.0,False,False,kerrostalo,haaga,helsinki,00400,rent
1082.0,47.0,2.0,False,False,kerrostalo,töölö,helsinki,00250,rent
930.0,41.0,1.0,False,False,kerrostalo,kallio,helsinki,00530,rent
1100.0,45.5,2.0,True,False,kerrostalo,merihaka,helsinki,00530,rent
850.0,56.0,2.0,True,False,kerrostalo,myyrmäki,vantaa,01600,rent
660.0,18.0,1.0,False,False,kerrostalo,kruununhaka,helsinki,00170,rent
